entity_name,arc_name,relation_name,target_entity_name
Central bank and Corporation,Central bank and Corporation type,Hierarchy_19,Financial corporation
Central bank and private sector company,Central bank and private sector company type,Hierarchy_39,Private sector company other than corporation
Central bank and private sector company,Central bank and private sector company type,Hierarchy_38,Central bank and Corporation
Central bank and private sector company,Listed central bank and private sector company indicator,Hierarchy_561,Listed central bank and private sector company
Central bank and private sector company,Listed central bank and private sector company indicator,Hierarchy_562v1,Non-listed central bank and private sector company
Central bank and private sector company role,Central bank and private sector company role type,Hierarchy_443,Subsidiary (of the reporting agent)
Central bank and private sector company role,Central bank and private sector company role type,Hierarchy_444,Joint venture (of the reporting agent)
Central bank and private sector company role,Central bank and private sector company role type,Hierarchy_445,Associate (of the reporting agent)
Central bank and private sector company role,Central bank and private sector company role type,Hierarchy_557,Immediate parent enterprise
Central bank and private sector company role,Central bank and private sector company role type,Hierarchy_558,Partner enterprise
Central bank and private sector company role,Central bank and private sector company role type,Hierarchy_559,Linked enterprise
Collateral,Collateral type,Hierarchy_175,Financial collateral
Collateral,Collateral type,Hierarchy_176,Physical collateral
Collateral,Collateral type,Hierarchy_569v1,Immaterial rights as collateral
Collateral received instrument,Collateral received instrument type,Hierarchy_551v2,Over the counter (OTC) Credit default swap received as collateral instrument
Collateral received instrument,Collateral received instrument type,Hierarchy_552,Other collateral received instrument
Collateral role,Collateral role type,Hierarchy_717v1,Collateral given
Collateral role,Collateral role type,Hierarchy_716v1,Collateral received
Commercial real estate and offices and commercial premises collateral,Commercial real estate and offices and commercial premises collateral type,Hierarchy_566v1,Commercial real estate collateral
Commercial real estate and offices and commercial premises collateral,Commercial real estate and offices and commercial premises collateral type,Hierarchy_567,Offices and commercial premises collateral
Commodity collateral,Commodity collateral type,Hierarchy_184,Gold collateral
Commodity collateral,Commodity collateral type,Hierarchy_185,Other commodity collateral
Country,Country type,Hierarchy_521,Registered Postal Code system country
Country,Country type,Hierarchy_520,Non-registered Postal Code system country
Country,Country type by reporting,Hierarchy_191,Reporting member state
Country,Country type by reporting,Hierarchy_192,Non-reporting member state
Credit facility,Renegotiated credit facility type,Hierarchy_755v1,Renegotiated credit facility
Credit facility,Renegotiated credit facility type,Hierarchy_756,Non-renegotiated credit facility
Credit facility Entity role assignment,Credit facility Entity role assignment type,Hierarchy_168,Credit facility Debtor assignment
Credit facility Entity role assignment,Credit facility Entity role assignment type,Hierarchy_169,Credit facility Servicer assignment
Credit facility Entity role assignment,Credit facility Entity role assignment type,Hierarchy_170,Credit facility Creditor assignment
Debt security,Debt security type,Hierarchy_227,Debt security without underlying assets
Debt security,Debt security type,Hierarchy_226,Debt security with underlying assets
Debt security,Debt security by Performing status type,Hierarchy_569v2,Performing debt security
Debt security,Debt security by Performing status type,Hierarchy_570v1,Non-performing debt security
Debt security,Renegotiated debt security type,Hierarchy_737,Renegotiated debt security
Debt security,Renegotiated debt security type,Hierarchy_748v1,Non-renegotiated debt security
Debt security,Perpetual debt security indicator,Hierarchy_562,Non-perpetual debt security
Debt security,Perpetual debt security indicator,Hierarchy_561v2,Perpetual debt security
Debt security,Past due debt security indicator,Hierarchy_741,Not past due debt security
Debt security,Past due debt security indicator,Hierarchy_740,Past due debt security
Debt security,Debt security by accounting standard,Hierarchy_622v2,Debt security for international financial reporting standard (IFRS)
Debt security,Debt security by accounting standard,Hierarchy_624v2,Debt security for national general accepted accounting principles (nGAAP)
Debt security issued (by the reporting agent),Debt security issued type,Hierarchy_455,Fair-valued debt security issued
Debt security issued (by the reporting agent),Debt security issued type,Hierarchy_456,Non-fair-valued debt security issued
Debt security issued (by the reporting agent),Debt security issued prudential portfolio type,Hierarchy_630v1,Issued debt security in the banking book
Debt security issued (by the reporting agent),Debt security issued prudential portfolio type,Hierarchy_628,Issued debt security in the trading book
Debt security with underlying assets,Debt security with underlying assets type,Hierarchy_229,Asset backed security
Debt security with underlying assets,Debt security with underlying assets type,Hierarchy_228,Covered bond
Deposit,Deposit type,Hierarchy_124,Overnight deposit
Deposit,Deposit type,Hierarchy_127,Other deposit
Deposit redeemable at notice,Minimum reserve indicator,Hierarchy_724v1,On demand deposit not used for minimum reserve
Deposit redeemable at notice,Minimum reserve indicator,Hierarchy_723v1,On demand deposit used for minimum reserve
Employee benefit,Employee benefit type,Hierarchy_319,Pension and other post-employment defined benefit obligation
Employee benefit,Employee benefit type,Hierarchy_320,Other employee benefit
Entity group role,Entity group role type,Hierarchy_754,Natural person group role
Entity group role,Entity group role type,Hierarchy_755,Central bank and private sector company role
Entity role,Entity role type,Hierarchy_768,Entity group role
Entity role,Entity role type,Hierarchy_765,Entity transaction role
Entity transaction role,Entity transaction role type,Hierarchy_751,Organisation role
Entity transaction role,Entity transaction role type,Hierarchy_752,Legal person role
Entity transaction role,Entity transaction role type,Hierarchy_748,Party role
Equity and fund security,Equity or fund security type,Hierarchy_222,Equity security
Equity and fund security,Equity or fund security type,Hierarchy_223,Fund security
European Union member country,European Union member country type,Hierarchy_524,Single Supervisory Mechanism member country
European Union member country,European Union member country type,Hierarchy_525,Non-Single Supervisory Mechanism member country
European Union member postal code,European Union member postal code type,Hierarchy_530,Single Supervisory Mechanism member postal code
European Union member postal code,European Union member postal code type,Hierarchy_531,Non-Single Supervisory Mechanism member postal code
Exchange tradable derivative,Exchange tradable derivative type,Hierarchy_243,Exchange tradable option
Exchange tradable derivative,Exchange tradable derivative type,Hierarchy_244,Exchange tradable future
Exchange tradable derivative,Exchange tradable derivative type by identifier,Hierarchy_736,Non-International securities identification number exchange tradable derivative
Exchange tradable derivative,Exchange tradable derivative type by identifier,Hierarchy_735,International securities identification number exchange tradable derivative
Exchange tradable derivative asset or liability position,Exchange tradable derivative asset or liability position role type,Hierarchy_593,Exchange tradable derivative liability position
Exchange tradable derivative asset or liability position,Exchange tradable derivative asset or liability position role type,Hierarchy_592,Exchange tradable derivative asset position
Exchange tradable derivative asset position,Exchange tradable derivative asset position type,Hierarchy_594,Balance sheet recognised exchange tradable derivative asset position
Exchange tradable derivative asset position,Exchange tradable derivative asset position type,Hierarchy_595,Non-balance sheet recognised exchange tradable derivative asset position
Exchange tradable derivative liability position,Exchange tradable derivative liability position type,Hierarchy_542,Balance sheet recognised exchange tradable derivative liability position
Exchange tradable derivative liability position,Exchange tradable derivative liability position type,Hierarchy_543,Non-balance sheet recognised exchange tradable derivative liability position
Exchange tradable derivative position as a hedge,Exchange tradable derivative position hedge accounting standard type,Hierarchy_715,Exchange tradable derivative position as a hedge according to national general accepted accounting principles (nGAAP)
Exchange tradable derivative position as a hedge,Exchange tradable derivative position hedge accounting standard type,Hierarchy_714v1,Exchange tradable derivative position as a hedge according to International Financial Reporting Standard (IFRS)
Exchange tradable derivative position Protection arrangement assignment,Exchange tradable derivative Protection arrangement assignment type,Hierarchy_731,Protection arrangement given Exchange tradable derivative position assignment
Exchange tradable derivative position Protection arrangement assignment,Exchange tradable derivative Protection arrangement assignment type,Hierarchy_730,Exchange tradable derivative position Protection arrangement received assignment
Exchange tradable derivative position role,Exchange tradable derivative position role type,Hierarchy_622v3,Exchange tradable derivative position as a hedge
Exchange tradable derivative position role,Exchange tradable derivative position role type,Hierarchy_624v1,Exchange tradable derivative asset or liability position
Fair-valued balance sheet recognised financial liability instrument,Fair-valued balance sheet recognised financial liability instrument accounting standard,Hierarchy_639,Fair-valued balance sheet recognised financial liability instrument according to national general accepted accounting principles (nGAAP)
Fair-valued balance sheet recognised financial liability instrument,Fair-valued balance sheet recognised financial liability instrument accounting standard,Hierarchy_638,Fair-valued Balance sheet recognised financial liability instrument according to International Financial Reporting Standard (IFRS)
Financial asset instrument,Financial asset instrument type by renegotiation status,Hierarchy_505,Renegotiated financial asset instrument
Financial asset instrument,Financial asset instrument type by renegotiation status,Hierarchy_504,Non-renegotiated financial asset instrument
Financial asset instrument,Financial asset instrument type by fixed interest rate,Hierarchy_499,Fixed interest financial asset instrument
Financial asset instrument,Financial asset instrument type by fixed interest rate,Hierarchy_500,Non-fixed interest financial asset instrument
Financial asset instrument,Financial asset instrument type by CRR_ Article 123 (Retail exposure),Hierarchy_483,Non-retail exposure financial asset instrument
Financial asset instrument,Financial asset instrument type by CRR_ Article 123 (Retail exposure),Hierarchy_482,Retail exposure class financial asset instrument
Financial asset instrument,Financial asset instrument type by interest rate only,Hierarchy_497,Interest-only financial asset instrument
Financial asset instrument,Financial asset instrument type by interest rate only,Hierarchy_498,Non-interest-only financial asset instrument
Financial asset instrument,Financial asset instrument type,Hierarchy_385,Balance sheet recognised financial asset instrument
Financial asset instrument,Financial asset instrument type,Hierarchy_457,Non-balance sheet recognised financial asset instrument
Financial asset instrument,Past due financial asset instrument indicator,Hierarchy_630,Past due financial asset instrument
Financial asset instrument,Past due financial asset instrument indicator,Hierarchy_631,Not past due financial asset instrument
Financial asset instrument debtor assessed,Financial asset instrument debtor assessed type,Hierarchy_489,Non-performing financial asset instrument debtor assessed
Financial asset instrument debtor assessed,Financial asset instrument debtor assessed type,Hierarchy_488,Performing financial asset instrument debtor assessed
Financial asset instrument individually assessed,Financial asset instrument individually assessed type,Hierarchy_494,Non-default financial asset instrument individually assessed
Financial asset instrument individually assessed,Financial asset instrument individually assessed type,Hierarchy_490,Default financial asset instrument individually assessed
Financial collateral,Financial collateral type,Hierarchy_201,Other financial collateral
Financial collateral,Financial collateral type,Hierarchy_194,Currency collateral
Financial collateral,Financial collateral type,Hierarchy_193,Security collateral
Financial collateral,Financial collateral type,Hierarchy_518,Trade receivable collateral
Financial collateral,Financial collateral type,Hierarchy_519,Life insurance policy pledged collateral
Financial collateral,Financial collateral type,Hierarchy_652v1,Exchange tradable derivative collateral
Financial contract,Financial contract type,Hierarchy_589,Single financial contract
Financial contract,Financial contract type,Hierarchy_591,Syndicated financial contract member
Financial corporation,Financial corporation type,Hierarchy_16,Central bank
Financial corporation,Financial corporation type,Hierarchy_17,Credit institution
Financial corporation,Financial corporation type,Hierarchy_18,Other financial corporation
Financial guarantee instrument,Financial guarantee instrument type,Hierarchy_74,Financial guarantee instrument not covering a Debt security
Financial guarantee instrument,Financial guarantee instrument type,Hierarchy_73,Financial guarantee instrument covering a Debt security
Financial liability instrument,Financial liability instrument type,Hierarchy_386,Balance sheet recognised financial liability instrument
Financial liability instrument,Financial liability instrument type,Hierarchy_458,Non-balance sheet recognised financial liability instrument
Fundamental review of the trading book standard approach risk measure,Risk measure type,Hierarchy_581,Delta sensitivity
Fundamental review of the trading book standard approach risk measure,Risk measure type,Hierarchy_583,Curvature
Fundamental review of the trading book standard approach risk measure,Risk measure type,Hierarchy_582,Vega sensitivity
Fundamental review of the trading book standard approach risk measure,Risk measure type by position,Hierarchy_590,Fundamental review of the trading book standard approach risk measure for security positions
Fundamental review of the trading book standard approach risk measure,Risk measure type by position,Hierarchy_588v2,Fundamental review of the trading book standard approach risk measure for ETD positions
Fundamental review of the trading book standard approach risk measure,Risk measure type by position,Hierarchy_587v2,Fundamental review of the trading book standard approach risk measure for OTC positions
General government,General government type,Hierarchy_14,Central government
General government,General government type,Hierarchy_15,State and local government and Social security funds
Group,Group type,Hierarchy_53,Group of clients
Group,Group type,Hierarchy_54,Internal group
Group Key management personnel assignment,Group Key management personnel assignment type,Hierarchy_688,Group of clients Key management personnel assignment
Group Key management personnel assignment,Group Key management personnel assignment type,Hierarchy_689,Internal group Key management personnel assignment
Group of clients,Group of clients type,Hierarchy_56,Group of consolidated clients
Group of clients,Group of clients type,Hierarchy_57,Other group of clients
Group of clients,Group of clients type,Hierarchy_55,Group of connected clients
Immaterial rights as collateral,Immaterial rights collateral type,Hierarchy_652,Other immaterial rights collateral
Immaterial rights as collateral,Immaterial rights collateral type,Hierarchy_651,Software collateral
Institutional unit,Domestic institutional unit indicator,Hierarchy_622,Foreign institutional unit
Institutional unit,Domestic institutional unit indicator,Hierarchy_624v4,Domestic institutional unit
Instrument,Instrument type by origin,Hierarchy_64,Instrument resulting from a Credit facility
Instrument,Instrument type by origin,Hierarchy_63,Instrument resulting directly from a Financial contract
Instrument,Instrument type by product,Hierarchy_78,Over the counter (OTC) Derivative instrument
Instrument,Instrument type by product,Hierarchy_70,Off-balance instrument
Instrument,Instrument type by product,Hierarchy_65,Securities financing transaction (SFT)
Instrument,Instrument type by product,Hierarchy_69,Equity instrument that is not a security
Instrument,Instrument type by product,Hierarchy_66,Loan and advance
Instrument,Instrument type by product,Hierarchy_123,Deposit
Instrument Collateral assignment,Instrument Collateral assignment type,Hierarchy_701,Loan and advance Collateral received assignment
Instrument Collateral assignment,Instrument Collateral assignment type,Hierarchy_702v1,Off-balance instrument Collateral received assignment
Instrument Collateral assignment,Instrument Collateral assignment type,Hierarchy_728,Off-balance instrument Collateral given assignment
Instrument Collateral assignment,Instrument Collateral assignment type,Hierarchy_768v1,Deposit Collateral given assignment
Instrument Collateral assignment,Instrument Collateral assignment type,Hierarchy_769v1,Over the counter (OTC) Derivative instrument Collateral given assignment
Instrument Collateral assignment,Instrument Collateral assignment type,Hierarchy_732,(Reverse) repurchase transaction gold collateral received assignment
Instrument Collateral instrument assignment,Instrument Collateral received instrument assignment type,Hierarchy_550v2,Over the counter (OTC) Credit default swap Collateral received instrument assignment
Instrument Collateral instrument assignment,Instrument Collateral received instrument assignment type,Hierarchy_555,Instrument Collateral received instrument assignment
Instrument Collateral instrument assignment,Instrument Collateral received instrument assignment type,Hierarchy_711,Collateral given instrument Instrument assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_415,Financial guarantee instrument Protection provider assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_420,Trade receivable Factor assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_438,Financial lease Lessee assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_407,Credit card debt Loan debtor assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_419,Trade receivable Assigned debtor assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_408,Advance Creditor assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_417,Other commitment Creditor assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_422,Deposit Depositor assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_412,Security borrowing and lending transaction Borrower assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_418,Other commitment Loan debtor assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_413,Security borrowing and lending transaction Lender assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_424,Over the counter (OTC) Derivative Seller assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_421,Deposit Deposit-taking corporation assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_404,Other loan Loan debtor assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_416,Financial guarantee instrument Beneficiary assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_409,Advance Loan debtor assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_405,Other loan Creditor assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_481,Equity instrument that is not a security Investor assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_437,Financial lease Lessor assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_406,Credit card debt Creditor assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_423,Over the counter (OTC) Derivative Buyer assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_436,Equity instrument that is not a security Issuer assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_480,Instrument Servicer assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_626v1,Syndication or sub-participation member instrument Payment agent assignment
Instrument Entity role assignment,Instrument Entity role assignment type,Hierarchy_736v2,Guarantor Debt security assignment
Instrument Protection arrangement assignment,Instrument Protection arrangement assignment type,Hierarchy_724,Instrument Protection arrangement received assignment
Instrument Protection arrangement assignment,Instrument Protection arrangement assignment type,Hierarchy_723,Protection arrangement given Instrument assignment
Instrument role,Instrument role type,Hierarchy_381,Financial liability instrument
Instrument role,Instrument role type,Hierarchy_387,Off-balance sheet item given instrument
Instrument role,Instrument role type,Hierarchy_382,Collateral given instrument
Instrument role,Instrument role type,Hierarchy_388,Off-balance sheet item received instrument
Instrument role,Instrument role type,Hierarchy_379,Collateral received instrument
Instrument role,Instrument role type,Hierarchy_380,Financial asset instrument
Internal consolidation group,Internal consolidation group type,Hierarchy_60,Prudential consolidation group
Internal consolidation group,Internal consolidation group type,Hierarchy_59,Accounting consolidation group
Internal group,Internal group type,Hierarchy_61,Institutional unit
Internal group,Internal group type,Hierarchy_442,Subsidiary_ joint venture and associate
Internal group,Internal group type,Hierarchy_58,Internal consolidation group
International organisation and general government,International organisation and general government type,Hierarchy_31,General government
International organisation and general government,International organisation and general government type,Hierarchy_30,International organisation
Investment property taken into possession ,Investment property taken into possession type,Hierarchy_742,Residential Immovable property
Investment property taken into possession ,Investment property taken into possession type,Hierarchy_744,Other Immovable property
Investment property taken into possession ,Investment property taken into possession type,Hierarchy_745,Movable property
Investment property taken into possession ,Investment property taken into possession type,Hierarchy_749,Commercial immovable property related to land (excluding agricultural land)
Investment property taken into possession ,Investment property taken into possession type,Hierarchy_750,Commercial immovable property other than related to land (excluding agricultural land)
Issued debt security in the trading book,Issued debt security in the trading book accounting standard,Hierarchy_635v1,Issued debt security in the trading book national general accepted accounting principles (nGAAP)
Issued debt security in the trading book,Issued debt security in the trading book accounting standard,Hierarchy_634,Issued debt security in the trading book International Financial Reporting Standard (IFRS)
Issuer based rating system,Issuer based rating system type,Hierarchy_291,Non-central government rating system
Issuer based rating system,Issuer based rating system type,Hierarchy_292,Central government rating system
Legal person,Legal person type,Hierarchy_34,Organisation
Legal person,Legal person type,Hierarchy_9,Natural person
Loan,Loan type,Hierarchy_119,Financial lease
Loan,Loan type,Hierarchy_120,Trade receivable
Loan,Loan type,Hierarchy_130,Credit card debt
Loan,Loan type,Hierarchy_131,Other loan
Loan,Syndication or sub-participation member instrument indicator,Hierarchy_622v1,Syndication or sub-participation member instrument
Loan,Syndication or sub-participation member instrument indicator,Hierarchy_624,Non-syndicated contract nor sub-participation member instrument
Loan and advance,Loan and advance type,Hierarchy_67,Loan
Loan and advance,Loan and advance type,Hierarchy_68,Advance
Long/Short balance sheet recognised security position,Long/Short balance sheet recognised security position type,Hierarchy_765v1,Long balance sheet recognised security position
Long/Short balance sheet recognised security position,Long/Short balance sheet recognised security position type,Hierarchy_771,Short balance sheet recognised security position
Long balance sheet recognised security position,Long balance sheet recognised security position accounting standard type,Hierarchy_734,Long balance sheet recognised security position national general accepted accounting principles (nGAAP)
Long balance sheet recognised security position,Long balance sheet recognised security position accounting standard type,Hierarchy_753,Long balance sheet recognised security position International Financial Reporting Standard (IFRS)
Long balance sheet recognised security position prudential portfolio Accounting classification assignment,Long balance sheet recognised security position prudential portfolio Accounting classification assignment accounting standard type,Hierarchy_687,Long balance sheet recognised security position prudential portfolio Accounting classification assignment International Financial Reporting Standard (IFRS)
Long balance sheet recognised security position prudential portfolio Accounting classification assignment,Long balance sheet recognised security position prudential portfolio Accounting classification assignment accounting standard type,Hierarchy_759,Long balance sheet recognised security position prudential portfolio Accounting classification assignment national general accepted accounting principles (nGAAP)
Long balance sheet recognised security position prudential portfolio Accounting classification assignment,Long balance sheet recognised security position prudential portfolio Accounting classifcation assignment type,Hierarchy_779,Long balance sheet recognised equity or fund security position prudential portfolio Accounting classification assignment position
Long balance sheet recognised security position prudential portfolio Accounting classification assignment,Long balance sheet recognised security position prudential portfolio Accounting classifcation assignment type,Hierarchy_778,Long balance sheet recognised debt security position prudential portfolio Accounting classification assignment
Master agreement,Master agreement type,Hierarchy_364,Master agreement with a central counterparty
Master agreement,Master agreement type,Hierarchy_365,Master agreement with a clearing member
Master agreement Central counterparty assignment,Master agreement Central counterparty assignment type,Hierarchy_369,Master agreement Non-qualifying central counterparty assignment
Master agreement Central counterparty assignment,Master agreement Central counterparty assignment type,Hierarchy_368,Master agreement Qualifying central counterparty assignment
Master agreement Entity role assignment,Master agreement Entity role type,Hierarchy_366,Master agreement Central counterparty assignment
Master agreement Entity role assignment,Master agreement Entity role type,Hierarchy_367,Master agreement Clearing member assignment
Master agreement with a central counterparty,Master agreement with central counterparty type,Hierarchy_370,Master agreement with a qualifying central counterparty
Master agreement with a central counterparty,Master agreement with central counterparty type,Hierarchy_371,Master agreement with a non-qualified central counterparty
Natural person,Natural person type,Hierarchy_12,Self-employed natural person
Natural person,Natural person type,Hierarchy_13,Non-self-employed natural person
Non-balance sheet recognised financial asset instrument,Non-balance sheet recognised financial asset instrument by accounting standard,Hierarchy_695,Non-balance sheet recognised financial asset instrument according to International Financial Reporting Standard (IFRS)
Non-balance sheet recognised financial asset instrument,Non-balance sheet recognised financial asset instrument by accounting standard,Hierarchy_696,Non-balance sheet recognised financial asset instrument according to national general accepted accounting principles (nGAAP)
Non-balance sheet recognised security position ,Non-balance sheet recognised security position type,Hierarchy_770,Non-balance sheet recognised debt security position
Non-balance sheet recognised security position ,Non-balance sheet recognised security position type,Hierarchy_772,Non-balance sheet recognised equity or fund security position
Non-default financial asset instrument individually assessed,Non-default financial asset instrument individually assessed type,Hierarchy_496,Non-performing non-default financial asset instrument individually assessed
Non-default financial asset instrument individually assessed,Non-default financial asset instrument individually assessed type,Hierarchy_495,Performing non-default financial asset instrument individually assessed
Non-financial asset,Non-financial asset type,Hierarchy_324,Tax asset
Non-financial asset,Non-financial asset type,Hierarchy_330,Other non-financial asset
Non-financial asset,Non-financial asset type,Hierarchy_328,Other intangible asset
Non-financial asset,Non-financial asset type,Hierarchy_323,Goodwill
Non-financial asset,Non-financial asset type,Hierarchy_325,Investment property
Non-financial asset,Non-financial asset type,Hierarchy_738,Property_ plant and equipment
Non-financial asset and non-financial liability,Non-financial asset and non-financial liabilty type,Hierarchy_308,Non-financial liability
Non-financial asset and non-financial liability,Non-financial asset and non-financial liabilty type,Hierarchy_306,Non-financial asset
Non-financial liability,Non-financial liability type,Hierarchy_311,Share capital repayable on demand
Non-financial liability,Non-financial liability type,Hierarchy_314,Provision
Non-financial liability,Non-financial liability type,Hierarchy_310,Tax liability
Non-financial liability,Non-financial liability type,Hierarchy_321,Other non-financial liability
Non-retail exposure financial asset instrument,Non-retail exposure financial asset instrument type,Hierarchy_487,Non-performing non-retail exposure class financial asset instrument
Non-retail exposure financial asset instrument,Non-retail exposure financial asset instrument type,Hierarchy_486,Performing non-retail exposure class financial asset instrument
Off-balance instrument,Off-balance instrument type,Hierarchy_72,Other commitment
Off-balance instrument,Off-balance instrument type,Hierarchy_71,Financial guarantee instrument
Off-balance sheet item given instrument,Off-balance sheet item given instrument by forbearance status type,Hierarchy_632,Forborne off-balance sheet item given instrument
Off-balance sheet item given instrument,Off-balance sheet item given instrument by forbearance status type,Hierarchy_635,Non-forborne off-balance sheet item given instrument
Offices and commercial premises collateral,Offices and commercial premises collateral indicator,Hierarchy_587,Offices and commercial premises not related to land collateral
Offices and commercial premises collateral,Offices and commercial premises collateral indicator,Hierarchy_586,Offices and commercial premises related to land collateral
